"","TG_0","TG_1","TG_2","tKO_0","tKO_1","tKO_2","WT_0","WT_1","WT_2"
"Rtca",18.8646,23.6053,28.4679,13.0408,27.6786,29.9214,14.3134,22.6798,26.7492
"Rtcb",122.434,103.104,105.691,91.3721,104.821,109.78,104.62,97.4378,108.328
"Rtdr1",0,0,0,0,0,0,0,0,0
"Rtel1",6.19821,6.58554,8.98013,7.39408,8.13229,5.25257,5.49162,8.54808,7.18569
"Rtf1",12.8474,13.9373,14.036,17.2089,14.1759,15.4902,14.4386,17.6238,15.7201
"Rtfdc1",39.6257,42.1637,38.9161,27.3926,33.4745,27.2354,45.0987,37.7832,34.8297
"Rtkn",0.194124,0,0.923916,0,0,0,0,0,0
"Rtkn2",0.249885,0.17549,0,0,0.458298,0,0.651747,0.284883,0.854735
"Rtl1",0,0,0,0,0,0,0,0,0
"Rtn1",0,0,0,0.860955,0,0,0,0.309791,0
"Rtn2",0.259977,0,0,0,0,0,0,0,0
"Rtn3",63.8873,61.135,56.8808,51.1594,48.2833,53.5877,43.05,44.4199,48.5167
"Rtn4",27.5871,32.7177,35.3561,30.8207,27.7107,25.2261,30.1711,25.9852,23.8743
"Rtn4ip1",4.5274,4.23932,2.65092,3.18767,3.6904,2.92558,4.81078,5.35265,5.27671
"Rtn4r",0,0,0,0,0,0,0,0,0
"Rtn4rl1",0,0.210732,0,0,0,0,0,0,0
"Rtn4rl2",0,0,0,0,0,0,0,0,0
"Rtp1",0.159697,0,0,0,0,0,0,0,0
"Rtp2",0,0,0,0,0,0,0,0,0
"Rtp3",0,0,0,0,0,0,0,0,0
"Rtp4",32.2756,21.473,32.2265,15.0701,16.2006,11.8552,58.4834,13.9437,46.9486
"Rttn",4.50001,3.70555,3.64945,2.0897,5.56433,3.4522,3.26843,2.85731,4.60223
"Rubie",0,0,0,0,0,0,0,0,0
"Rufy1",16.5127,18.3944,18.0037,18.0408,31.3291,21.5248,13.366,20.34,27.0074
"Rufy2",0.747156,0.89952,1.4765,2.02909,0.587276,0.465565,0.695972,0.365057,0.949243
"Rufy3",4.02339,3.70244,3.83835,5.27488,8.14239,2.42051,5.06595,6.64308,1.13893
"Rufy4",0,0,0,0,0,0,0,0,0
"Rundc1",4.17592,4.34468,3.66768,5.8804,10.2117,2.69845,8.87461,4.9371,3.59739
"Rundc3a",0.418239,0.29371,0,0,0,0,0,0,0
"Rundc3b",0.402556,0.188472,0.530343,1.7006,0,0,1.04994,0.611914,0.734371
"Runx1",16.9586,17.1626,18.4519,12.3192,9.05494,11.4115,14.1727,10.1093,9.10259
"Runx1t1",0.127439,0.0926316,0,0,0,0,0,0,0
"Runx2",0.3716,0.594142,1.40801,0,0,0,0.466277,0,0
"Runx3",17.181,21.4702,18.9734,16.0106,7.41424,7.71444,20.0991,7.20121,10.7165
"Rusc1",9.03067,7.07709,8.62411,5.18403,9.00381,11.897,4.26837,7.46293,6.7171
"Rusc2",0,0,0,0,0,0,0,0,0
"Ruvbl1",147.79,136.882,157.115,158.454,131.704,111.866,145.489,116.224,145.185
"Ruvbl2",201.442,178.109,163.732,196.383,164.716,206.904,150.114,157.189,190.377
"Rwdd1",94.1718,85.4509,98.2768,73.7549,95.0899,129.228,107.63,96.5044,94.825
"Rwdd2a",0.92775,1.32481,0,0,3.46057,0,4.3535,0,0.645095
"Rwdd2b",10.7778,7.22493,3.8725,4.65659,3.59399,17.0949,10.8609,6.70219,10.7246
"Rwdd3",0.364388,1.02368,1.23231,6.92812,2.67355,0,0,0,0
"Rwdd4a",12.3698,14.28,10.7155,19.3276,13.0526,11.8257,15.0264,13.1363,11.8239
"Rxfp1",0,0,0,0,0,0,0,0,0
"Rxfp2",0,0,0,0,0,0,0,0,0
"Rxfp3",0,0,0,0,0,0,0.300133,0,0
"Rxfp4",0,0,0,0,0,0,0,0,0
"Rxra",0.381155,0.267562,0.376607,0.604072,0.349491,1.66391,2.48756,0.434598,0.782692
"Rxrb",22.3875,27.1795,33.1442,25.6318,22.6098,22.6456,28.1343,22.8732,16.3389
"Rxrg",0,0,0,0,0,0,0,0,0
"Rybp",4.91285,4.54801,3.97169,6.36782,9.01034,3.89617,9.90144,7.89222,7.02732
